"Gene_Name","logFC","PValue","FDR"
"RAB6A",-1.09572611057629,0.000634577367525187,0.00129909868807717
"ANKRD13C",0.321035711152968,0.000637056589277873,0.00130395515108908
"KIAA0319L",-0.656106891611086,0.00063964273401283,0.00130902880146893
"DGCR8",-0.2418511061168,0.000640882698113428,0.00131134625255133
"AIF1L",0.706466244702695,0.000644171076671849,0.00131785359887674
"NR4A1",0.38317032728549,0.000645358784694174,0.00132006190339038
"CCNB1",-0.702195428973329,0.000646237441145742,0.00132163741738093
"B9D1",0.179087285079757,0.000648533977663908,0.00132611166080186
"HOXA4",-0.639557385941166,0.000648825800214901,0.00132648588469225
"ROR2",-0.392189878584146,0.00064894746259006,0.00132649836409998
"MIPEP",0.162330216110605,0.000649049523571192,0.00132649836409998
"CARD10",-1.07052304263409,0.000651246673912987,0.0013307657059459
"VWA5A",0.360364792267808,0.000651501179102204,0.00133106265701943
"CSNK1A1",-0.532747871359259,0.000651634484801935,0.00133111193100208
"DLX1",-0.507811376870111,0.000656015313350466,0.00133983626822844
"LIPA",-0.358484686053111,0.000656188454849225,0.0013399023774975
"INPP5A",0.166267443865786,0.000656323589940439,0.0013399023774975
"CKMT2",0.384806069457201,0.000656377409434423,0.0013399023774975
"SLC41A3",0.229853114091812,0.000656702988675694,0.00134034256402903
"DNPH1",1.26457336896983,0.000657231407032028,0.00134119653216061
"PLIN4",0.217142436379184,0.000657832508426227,0.0013421985121714
"CCNO",0.25390287624208,0.000658437006099893,0.0013432070852349
"ARF3",-0.561463885796477,0.000658673414555423,0.00134346454690399
"C1orf162",-0.574949983246523,0.00065889250009727,0.00134368659563162
"PHLDA3",-1.41282819775426,0.000670727666410916,0.00136759340712753
"NMNAT1",-0.206015046637617,0.000671013926652842,0.0013679482909406
"FOXO3",0.310584774479392,0.000671581364455164,0.00136887617690568
"FKBPL",0.792425793488049,0.000672179458968034,0.00136986622940142
"SPRTN",-0.270491267259386,0.000673328474518015,0.00137197851125675
"NUDCD3",1.36321233530593,0.000674899754963944,0.00137472174556106
"DTD1",-0.406613051880376,0.000674900307372892,0.00137472174556106
"KLHL23",0.478574039114109,0.000677843392891315,0.00138048593430304
"NPIPA1",0.404543954255675,0.000678322541189881,0.00138123101714479
"SCG2",0.172485372706218,0.000680459835935622,0.00138535168000855
"OVGP1",-0.687260868773761,0.000680871934812663,0.00138595921811674
"NANOS1",0.408527315537656,0.000682423334032335,0.0013887987882824
"GLG1",1.7561799438057,0.000682494753555891,0.0013887987882824
"MORC4",-0.328332495446279,0.000688415814013717,0.00140061368301756
"DMAC1",-0.645772273635393,0.000688560480254412,0.00140067425576198
"MYO18A",0.297521832566369,0.000690895748357078,0.00140519020157176
"CXCR4",-0.37704264359574,0.000691221634014896,0.00140561850546715
"DAPK1",0.602390128701113,0.000692112425608238,0.00140719522691628
"ABHD15",0.469276775443352,0.000693492264381221,0.00140976558196956
"LPXN",-0.181768389346356,0.000695441351508133,0.00141349208340041
"SMTNL2",-0.402243779159495,0.000697247330259102,0.00141692652161839
"RACGAP1",1.35053824101387,0.000697438420052917,0.00141707862981085
"MAP3K13",-0.226565697836033,0.000698002956110254,0.00141798934143311
